Country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
AUT	6.9351	6.935451	6.927772	6.932483	6.940209	6.946885	6.952359	6.96586	6.987358	7.014331	7.047539	7.086298	7.129864	7.175811	7.223801	7.270888	7.322066	7.376998	7.415402	7.441055	7.467086	7.500481	7.544201	7.586114	7.599038	7.578902	7.565525	7.56843	7.562304	7.549424	7.549432	7.56871	7.574139	7.56191	7.561434	7.564984	7.569794	7.574585	7.585317	7.619566	7.67785	7.75489	7.840709	7.905632	7.936117	7.948278	7.959016	7.968041	7.976788	7.992323	8.011566	8.042293	8.082121	8.118245	8.169441	8.225278	8.267948	8.295189	8.321541	8.341483	8.361069	8.388534	8.426311	8.46857	
BEL						8.868451	8.9238	8.98905	9.05265	9.103712	9.153489	9.183947	9.220577	9.28977	9.378113	9.463667	9.527807	9.58099	9.618755	9.646032	9.655549	9.673161	9.711114	9.74172	9.772419	9.8007	9.818227	9.830357	9.839533	9.848382	9.859242	9.858981	9.856303	9.85552	9.855372	9.858308	9.861823	9.870233	9.901664	9.937697	9.967378	10.00449	10.04516	10.08447	10.1156	10.13681	10.15664	10.18125	10.20301	10.22642	10.25125	10.28657	10.33278	10.37613	10.42114	10.47862	10.54796	10.6257	10.70997	10.79649	10.92027	11.04774	11.12825	11.17844	11.22728
DEU							53.008	53.656	54.292	54.876	55.585	56.175	56.837	57.389	57.971	58.619	59.148	59.286	59.5	60.067	60.651	61.302	61.672	61.976	62.054	61.829	61.531	61.4	61.327	61.359	61.566	61.682	61.638	61.423	61.175	61.024	61.066	61.077	61.45	62.063	63.254	79.984	80.595	81.179	81.422	81.661	81.895	82.052	82.029	82.024	82.16	82.277	82.456	82.502	82.491	82.465	82.369	82.257	82.135	81.904	81.715	80.249	80.413	80.611	80.896
ESP						29.056	29.296	29.536	29.776	30.016	30.256	30.76737	31.02337	31.29665	31.6092	31.95429	32.323	32.72228	33.11314	33.44105	33.75282	34.21627	34.57171	34.9215	35.28756	35.68771	36.11804	36.56384	36.97147	37.28901	37.52691	37.76446	37.98711	38.16026	38.32524	38.46702	38.57194	38.68232	38.76431	38.82138	38.86083	38.94162	39.14794	39.35608	39.54735	39.71889	39.88425	40.04997	40.21407	40.36967	40.55439	40.76605	41.42352	42.19623	42.85917	43.66261	44.36052	45.236	45.98317	46.36755	46.56248	46.73626	46.7664	46.59323	46.46405
EST						1.144215	1.1579	1.171863	1.185073	1.198895	1.211537	1.225076	1.241622	1.258857	1.277086	1.294566	1.308596	1.318946	1.331213	1.345249	1.360076	1.376955	1.392518	1.405951	1.418169	1.429351	1.439576	1.450211	1.460188	1.468333	1.477218	1.487666	1.498414	1.508745	1.518616	1.528781	1.54019	1.55222	1.561899	1.56813	1.569174	1.561313	1.53309	1.494127	1.462513	1.436633	1.415594	1.399535	1.386155	1.380619	1.396985	1.388115	1.37935	1.37072	1.36255	1.354775	1.34681	1.34068	1.33709	1.334515	1.331475	1.327439	1.322696	1.317997	1.315819
FIN						4.235	4.282	4.324	4.36	4.395	4.43	4.461	4.491	4.523	4.549	4.564	4.581	4.606	4.626	4.624	4.606	4.612	4.64	4.666	4.691	4.712	4.726	4.739	4.753	4.765	4.779	4.8	4.827	4.856	4.882	4.902	4.918	4.932	4.947	4.964	4.986	5.014	5.042	5.066	5.088	5.108	5.125	5.14	5.153	5.165	5.176	5.188	5.201	5.213	5.228	5.246	5.267	5.289	5.313	5.339	5.363	5.388	5.414	5.439	5.472
FRA	41.82871	42.15553	42.45967	42.75175	43.05651	43.42767	43.84307	44.31086	44.78885	45.23973	45.68423	46.16283	46.9977	47.81622	48.31041	48.7578	49.16366	49.5483	49.9154	50.31798	50.77223	51.25109	51.70091	52.1183	52.46036	52.69917	52.90867	53.14529	53.37632	53.60623	53.88001	54.18182	54.49249	54.77242	55.02608	55.28427	55.54651	55.82396	56.11798	56.42341	56.70883	56.9756	57.23985	57.46709	57.65877	57.84425	58.02599	58.20749	58.39779	58.67741	59.06239	59.47623	59.89387	60.30363	60.73434	61.1815	61.59748	61.96505	62.30029	62.61547	62.91779	63.22316	63.514	63.78614	64.06225
GRC	7.554102	7.632801	7.743746	7.83611	7.893412	7.965538	8.031013	8.096218	8.173129	8.258162	8.331724	8.39805	8.448233	8.479625	8.510429	8.550333	8.613651	8.684088	8.740765	8.772764	8.792806	8.831036	8.888628	8.929086	8.962021	9.04654	9.18815	9.308479	9.429959	9.548258	9.642505	9.72935	9.789513	9.846627	9.895801	9.9343	9.967213	10.00059	10.03698	10.0895	10.1569	10.25629	10.36987	10.46553	10.55304	10.63438	10.70917	10.7765	10.83488	10.88258	10.91748	10.95	10.983	11.016	11.057	11.093	11.131	11.163	11.186	11.185	11.153	11.124	11.09		
IRL						2.9209	2.8985	2.8853	2.8527	2.8456	2.8321	2.8183	2.8301	2.85	2.8638	2.8758	2.884	2.8997	2.9122	2.9252	2.9499	2.9782	3.0244	3.073	3.1239	3.1772	3.2278	3.2719	3.314	3.3682	3.401	3.4434	3.48	3.504	3.529	3.54	3.5406	3.5465	3.5307	3.5095	3.5058	3.5257	3.5545	3.5741	3.5859	3.6013	3.6261	3.6643	3.7031	3.7416	3.7895	3.8472	3.9172	3.9799	4.0452	4.1338	4.2329	4.3758	4.4851	4.5334	4.5548	4.5749	4.5854	4.5931	4.6099
ITA							47.657	47.93	48.321	48.604	48.967	49.156	49.563	49.936	50.439	50.84	51.227	51.664	52.042	52.376	52.771	53.124	53.499	53.882	54.39	54.764	55.07	55.266	55.446	55.602	55.657	55.774	55.995	56.228	56.344	56.498	56.576	56.664	56.763	56.837	56.737	56.76	56.859	56.44193	56.62339	56.74459	56.82645	56.94104	57.04037	57.078	57.189	57.348	57.474	57.478	57.29746	57.71593	57.98418	58.27189	58.73968	59.14009	59.41965	59.65969	59.89803	60.22473	60.44791
LUX						0.305	0.306597	0.30807	0.30961	0.311508	0.313969	0.316844	0.32075	0.3241	0.32775	0.3315	0.333895	0.334995	0.33585	0.3375	0.33917	0.34242	0.3466	0.35045	0.35505	0.35895	0.360731	0.361357	0.362007	0.362855	0.36415	0.365225	0.365525	0.365622	0.365998	0.366706	0.368355	0.37075	0.37345	0.3771	0.38185	0.387	0.392175	0.397475	0.402925	0.408625	0.414225	0.41945	0.4247	0.430475	0.4363	0.4415	0.4462	0.45	0.455	0.4612	0.4691	0.4762	0.4838	0.4935	0.5021	0.5118	0.5249	0.537	0.5497
NLD	10.11353	10.26431	10.38198	10.49318	10.61538	10.75084	10.88936	11.02638	11.18688	11.34763	11.48663	11.63871	11.80569	11.96597	12.12712	12.29473	12.45625	12.5982	12.72972	12.87798	13.03853	13.1945	13.32859	13.43932	13.54506	13.66633	13.77404	13.85618	13.9417	14.03827	14.1498	14.24721	14.31269	14.36707	14.42421	14.49163	14.57228	14.66504	14.76009	14.84891	14.95151	15.0698	15.18417	15.29037	15.38284	15.45901	15.5305	15.61065	15.70721	15.81209	15.92551	16.04618	16.14893	16.2253	16.28178	16.31987	16.3461	16.3817	16.44559	16.53039	16.61539	16.69307	16.75496	16.80443	
PRT	8.439171	8.493316	8.556085	8.581255	8.6057	8.640325	8.68302	8.712675	8.749935	8.800845	8.857716	8.929316	8.993985	9.030355	9.035365	8.998595	8.93099	8.87452	8.83665	8.757705	8.680431	8.643756	8.63043	8.6331	8.754365	9.09347	9.35581	9.455675	9.55825	9.661265	9.766312	9.851362	9.91177	9.957865	9.996232	10.02361	10.03273	10.03003	10.01961	10.005	9.983218	9.960235	9.952493	9.964674	9.991525	10.02618	10.06394	10.10898	10.1602	10.21783	10.2899	10.36272	10.41963	10.45882	10.48386	10.50333	10.52229	10.54296	10.55818	10.56825	10.5731	10.55756	10.51484	10.45729	
SVK	3.463446	3.508698	3.558137	3.598761	3.661437	3.726601	3.787111	3.844277	3.899751	3.946039	4.068094	4.191667	4.238188	4.282016	4.327341	4.370983	4.411666	4.449367	4.483914	4.518607	4.538222	4.557448	4.596621	4.641444	4.689623	4.739105	4.789506	4.8405	4.890124	4.938972	4.979815	5.016105	5.055098	5.091971	5.127097	5.161767	5.193837	5.22284	5.250596	5.275941	5.299187	5.303294	5.305016	5.325305	5.346331	5.361998	5.373361	5.383291	5.390516	5.396019	5.38872	5.378867	5.376912	5.373374	5.37228	5.372806	5.373054	5.374622	5.379232	5.386405	5.391428	5.398384	5.407579	5.415949	
SVN																						1.729941	1.741343	1.753296	1.76604	1.778454	1.786977	1.799384	1.810997	1.824001	1.884477	1.896133	1.910335	1.922322	1.932154	1.94164	1.980718	1.989462	1.999988	1.999404	1.99809	2.001768	1.995832	1.990623	1.98885	1.987505	1.991169	1.986848	1.982603	1.985557	1.990272	1.992035	1.995718	1.996773	1.997004	2.001114	2.008516	2.019406	2.022629	2.042335	2.049261	2.052496	2.056262	2.059114	2.061623